# Surah 95 | At-Tin | التين
# total_ayat=8

1|وَالتِّينِ وَالزَّيْتُونِ|Demi (buah) tin dan (buah) zaitun,
2|وَطُورِ سِينِينَ|demi gunung Sinai,
3|وَهَٰذَا الْبَلَدِ الْأَمِينِ|dan demi negeri (Mekah) yang aman ini.
4|لَقَدْ خَلَقْنَا الْإِنْسَانَ فِي أَحْسَنِ تَقْوِيمٍ|Sungguh, Kami telah menciptakan manusia dalam bentuk yang sebaik-baiknya,
5|ثُمَّ رَدَدْنَاهُ أَسْفَلَ سَافِلِينَ|kemudian Kami kembalikan dia ke tempat yang serendah-rendahnya,
6|إِلَّا الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ فَلَهُمْ أَجْرٌ غَيْرُ مَمْنُونٍ|kecuali orang-orang yang beriman dan mengerjakan kebajikan; maka mereka akan mendapat pahala yang tidak ada putus-putusnya.
7|فَمَا يُكَذِّبُكَ بَعْدُ بِالدِّينِ|Maka apa yang menyebabkan (mereka) mendustakanmu (tentang) hari pembalasan setelah (adanya keterangan) itu?
8|أَلَيْسَ اللَّهُ بِأَحْكَمِ الْحَاكِمِينَ|Bukankah Allah hakim yang paling adil?
