# Surah 102 | At-Takathur | التكاثر
# total_ayat=8

1|أَلْهَاكُمُ التَّكَاثُرُ|Bermegah-megahan telah melalaikan kamu,
2|حَتَّىٰ زُرْتُمُ الْمَقَابِرَ|sampai kamu masuk ke dalam kubur.
3|كَلَّا سَوْفَ تَعْلَمُونَ|Jangan begitu! Kelak kamu akan mengetahui (akibat perbuatanmu itu),
4|ثُمَّ كَلَّا سَوْفَ تَعْلَمُونَ|kemudian jangan begitu! Kelak kamu akan mengetahui.
5|كَلَّا لَوْ تَعْلَمُونَ عِلْمَ الْيَقِينِ|Jangan begitu! Sekiranya kamu mengetahui dengan pasti,
6|لَتَرَوُنَّ الْجَحِيمَ|niscaya kamu benar-benar akan melihat neraka Jahim,
7|ثُمَّ لَتَرَوُنَّهَا عَيْنَ الْيَقِينِ|kemudian kamu benar-benar akan melihatnya dengan mata kepala sendiri,
8|ثُمَّ لَتُسْأَلُنَّ يَوْمَئِذٍ عَنِ النَّعِيمِ|kemudian kamu benar-benar akan ditanya pada hari itu tentang kenikmatan (yang megah di dunia itu).
