# Surah 104 | Al-Humazah | الهمزة
# total_ayat=9

1|وَيْلٌ لِكُلِّ هُمَزَةٍ لُمَزَةٍ|Celakalah bagi setiap pengumpat dan pencela,
2|الَّذِي جَمَعَ مَالًا وَعَدَّدَهُ|yang mengumpulkan harta dan menghitung-hitungnya,
3|يَحْسَبُ أَنَّ مَالَهُ أَخْلَدَهُ|dia mengira bahwa hartanya itu dapat mengekalkannya.
4|كَلَّا ۖ لَيُنْبَذَنَّ فِي الْحُطَمَةِ|Tidak mungkin! Pasti dia akan dilemparkan ke dalam (neraka) Hutamah.
5|وَمَا أَدْرَاكَ مَا الْحُطَمَةُ|Dan tahukah kamu apakah (neraka) Hutamah itu?
6|نَارُ اللَّهِ الْمُوقَدَةُ|(Yaitu) api (azab) Allah yang dinyalakan,
7|الَّتِي تَطَّلِعُ عَلَى الْأَفْئِدَةِ|yang (membakar) sampai ke hati.
8|إِنَّهَا عَلَيْهِمْ مُؤْصَدَةٌ|Sungguh, api itu ditutup rapat atas mereka,
9|فِي عَمَدٍ مُمَدَّدَةٍ|(sedang mereka itu) diikat pada tiang-tiang yang panjang.
