# Surah 94 | Ash-Sharh | الشرح
# total_ayat=8

1|أَلَمْ نَشْرَحْ لَكَ صَدْرَكَ|Bukankah Kami telah melapangkan untukmu dadamu?
2|وَوَضَعْنَا عَنْكَ وِزْرَكَ|dan Kami telah menghilangkan darimu bebanmu,
3|الَّذِي أَنْقَضَ ظَهْرَكَ|yang memberatkan punggungmu,
4|وَرَفَعْنَا لَكَ ذِكْرَكَ|dan Kami tinggikan sebutan (nama)mu bagimu.
5|فَإِنَّ مَعَ الْعُسْرِ يُسْرًا|Maka sesungguhnya bersama kesulitan ada kemudahan,
6|إِنَّ مَعَ الْعُسْرِ يُسْرًا|sesungguhnya bersama kesulitan ada kemudahan.
7|فَإِذَا فَرَغْتَ فَانْصَبْ|Maka apabila engkau telah selesai (dari sesuatu urusan), tetaplah bekerja keras (untuk urusan yang lain),
8|وَإِلَىٰ رَبِّكَ فَارْغَبْ|dan hanya kepada Tuhanmulah engkau berharap.
